strike,moneyness,expiry,days_to_expiry,time_to_expiry,option_type,mid_price,spot,volume,openInterest,implied_vol
282.5,1.045657250439326,2026-05-08,9,0.0246575342465753,put,14.125,270.1650085449219,28.0,39,0.3697843271494716
285.0,1.0549108544255146,2026-05-08,9,0.0246575342465753,put,16.3,270.1650085449219,28.0,39,0.3841432199400683
290.0,1.0734180623978922,2026-05-08,9,0.0246575342465753,put,20.575000000000003,270.1650085449219,4.0,31,0.387112152086631
295.0,1.0919252703702695,2026-05-08,9,0.0246575342465753,put,25.325,270.1650085449219,30.0,33,0.4199676938280604
300.0,1.110432478342647,2026-05-08,9,0.0246575342465753,put,30.05,270.1650085449219,4.0,3,0.4350692136028757
190.0,0.7032739029503431,2026-05-15,16,0.0438356164383561,call,80.55,270.1650085449219,5.0,44,0.5653335262689808
200.0,0.7402883188950979,2026-05-15,16,0.0438356164383561,call,70.775,270.1650085449219,12.0,660,0.6883415920325395
205.0,0.7587955268674754,2026-05-15,16,0.0438356164383561,call,65.80000000000001,270.1650085449219,27.0,169,0.6455599036520031
210.0,0.7773027348398529,2026-05-15,16,0.0438356164383561,call,60.725,270.1650085449219,20.0,907,0.557893344851464
215.0,0.7958099428122304,2026-05-15,16,0.0438356164383561,call,55.95,270.1650085449219,18.0,1279,0.590521580879243
220.0,0.8143171507846078,2026-05-15,16,0.0438356164383561,call,50.825,270.1650085449219,3.0,3004,0.499621260368868
225.0,0.8328243587569852,2026-05-15,16,0.0438356164383561,call,45.95,270.1650085449219,5.0,733,0.4858310092992411
230.0,0.8513315667293627,2026-05-15,16,0.0438356164383561,call,40.625,270.1650085449219,7.0,2824,0.2655200378486263
235.0,0.8698387747017401,2026-05-15,16,0.0438356164383561,call,35.775,270.1650085449219,6.0,2164,0.336249935340273
240.0,0.8883459826741176,2026-05-15,16,0.0438356164383561,call,30.9,270.1650085449219,37.0,24809,0.3238785303378918
245.0,0.906853190646495,2026-05-15,16,0.0438356164383561,call,26.325000000000003,270.1650085449219,7.0,2173,0.3410422465484661
247.5,0.9161067946326836,2026-05-15,16,0.0438356164383561,call,24.2,270.1650085449219,2.0,5,0.3533145034813732
250.0,0.9253603986188724,2026-05-15,16,0.0438356164383561,call,21.775,270.1650085449219,74.0,11682,0.3305910652353127
252.5,0.9346140026050612,2026-05-15,16,0.0438356164383561,call,19.675,270.1650085449219,2.0,24,0.3324037964429752
255.0,0.94386760659125,2026-05-15,16,0.0438356164383561,call,17.549999999999997,270.1650085449219,101.0,13970,0.3261878820425134
257.5,0.9531212105774388,2026-05-15,16,0.0438356164383561,call,15.5,270.1650085449219,177.0,24,0.3198178726877587
260.0,0.9623748145636274,2026-05-15,16,0.0438356164383561,call,13.6,270.1650085449219,433.0,11333,0.3167647944658208
262.5,0.971628418549816,2026-05-15,16,0.0438356164383561,call,11.825,270.1650085449219,26.0,290,0.3143633563224898
265.0,0.9808820225360048,2026-05-15,16,0.0438356164383561,call,10.175,270.1650085449219,622.0,9438,0.3120052522695948
267.5,0.9901356265221936,2026-05-15,16,0.0438356164383561,call,8.675,270.1650085449219,341.0,921,0.3104452789758845
270.0,0.9993892305083822,2026-05-15,16,0.0438356164383561,call,7.275,270.1650085449219,3423.0,28699,0.307145178951999
272.5,1.008642834494571,2026-05-15,16,0.0438356164383561,call,6.075,270.1650085449219,415.0,1778,0.3064424331385234
275.0,1.0178964384807598,2026-05-15,16,0.0438356164383561,call,4.975,270.1650085449219,2685.0,23929,0.3038744717071201
277.5,1.0271500424669484,2026-05-15,16,0.0438356164383561,call,4.05,270.1650085449219,664.0,1431,0.3029585694022668
280.0,1.0364036464531372,2026-05-15,16,0.0438356164383561,call,3.275,270.1650085449219,7247.0,39221,0.3029933382668303
282.5,1.045657250439326,2026-05-15,16,0.0438356164383561,call,2.595,270.1650085449219,97.0,1742,0.3017061401344718
285.0,1.0549108544255146,2026-05-15,16,0.0438356164383561,call,2.055,270.1650085449219,6527.0,33729,0.3020586233566292
287.5,1.0641644584117034,2026-05-15,16,0.0438356164383561,call,1.61,270.1650085449219,104.0,557,0.3023921444039128
290.0,1.0734180623978922,2026-05-15,16,0.0438356164383561,call,1.255,270.1650085449219,4545.0,28100,0.3032555814474501
292.5,1.0826716663840807,2026-05-15,16,0.0438356164383561,call,0.985,270.1650085449219,120.0,863,0.3055119365517642
295.0,1.0919252703702695,2026-05-15,16,0.0438356164383561,call,0.765,270.1650085449219,1813.0,18931,0.3073741050820037
300.0,1.110432478342647,2026-05-15,16,0.0438356164383561,call,0.4649999999999999,270.1650085449219,1522.0,38905,0.3127975706195671
305.0,1.1289396863150245,2026-05-15,16,0.0438356164383561,call,0.295,270.1650085449219,41.0,8833,0.3214698517231377
310.0,1.147446894287402,2026-05-15,16,0.0438356164383561,call,0.19,270.1650085449219,2217.0,16178,0.3307001953758085
315.0,1.1659541022597792,2026-05-15,16,0.0438356164383561,call,0.12,270.1650085449219,440.0,7966,0.3385200758776038
320.0,1.1844613102321568,2026-05-15,16,0.0438356164383561,call,0.085,270.1650085449219,176.0,9593,0.3512475771786247
325.0,1.2029685182045342,2026-05-15,16,0.0438356164383561,call,0.065,270.1650085449219,236.0,2477,0.3664371467440785
330.0,1.2214757261769118,2026-05-15,16,0.0438356164383561,call,0.04,270.1650085449219,3510.0,6326,0.3713275717743848
335.0,1.2399829341492892,2026-05-15,16,0.0438356164383561,call,0.04,270.1650085449219,2.0,2836,0.3959783166025269
340.0,1.2584901421216663,2026-05-15,16,0.0438356164383561,call,0.04,270.1650085449219,5.0,2806,0.4200791598475931
